Initial state Z
x,p,p_error,p_x,p_x_error,p_y,p_y_error,p_z,p_z_error,R_x,R_x_error,R_y,R_y_error,R_z,R_z_error,
0.0,0.9340833333,0.0164221649,0.0524166667,0.0440563875,-0.0323833333,0.0382958186,0.89485,0.0184678324,0.056,0.0988736568,-0.0518,0.1055308486,0.9256,0.0408,
0.03841320854628643,0.90555,0.0174818239,0.0899333333,0.0434440381,-0.0328722222,0.0354684745,0.8744833333,0.017010936,0.082,0.1088668912,-0.061,0.0895488693,0.8608,0.0540311022,
0.07682641709257286,0.9290166667,0.0164301467,0.0473833333,0.0416834999,-0.0633444444,0.0371392093,0.8965,0.0197547463,0.0208,0.1055621144,-0.043,0.0923200953,0.8788,0.0466321777,
0.1152396256388593,0.88585,0.0236437624,0.00365,0.0402096554,-0.0693166667,0.0358734792,0.8479833333,0.0231364251,-0.0222,0.1079590663,-0.0602,0.0964363002,0.8486,0.0544980734,
0.15365283418514572,0.9113166667,0.0178890019,0.0225333333,0.0417429169,-0.0708611111,0.0379528114,0.8655166667,0.0212899233,0.0092,0.096681746,-0.0558,0.0910074722,0.8252,0.0580082753,
0.19206604273143216,0.91205,0.0163449873,-0.09285,0.0402659872,0.0171222222,0.0359363618,0.8697833333,0.021796604,-0.129,0.0889213135,0.0466,0.0974086238,0.899,0.0407308237,
0.2304792512777186,0.8394166667,0.0244612789,0.0652833333,0.0411434179,-0.0257277778,0.0366812004,0.8305166667,0.0232924582,0.0482,0.1052651889,-0.0472,0.0986922489,0.7608,0.0623486969,
0.268892459824005,0.8549166667,0.0228416955,0.0756166667,0.0428074857,-0.0562444444,0.0318255391,0.81415,0.0241217917,0.0986,0.1137455054,-0.072,0.1051475154,0.7776,0.0690089849,
0.30730566837029144,0.8468333333,0.0192014178,0.0881833333,0.0460350682,-0.0011222222,0.0391231815,0.7552333333,0.0276857565,0.047,0.0973396117,-0.03,0.1094531863,0.6632,0.0770828126,
0.3457188769165779,0.7764833333,0.0287565403,0.03035,0.0384507586,0.0076944444,0.0341913077,0.7107166667,0.0264535809,0.0208,0.0930771723,0.068,0.0917387595,0.611,0.0805170789,
0.3841320854628643,0.838,0.0238327506,0.1273166667,0.0404398696,0.0118833333,0.0322687303,0.8119166667,0.0226487368,0.1126,0.0989001517,-0.0158,0.0838710916,0.7218,0.0698624363,
Initial state X
x,p,p_error,p_x,p_x_error,p_y,p_y_error,p_z,p_z_error,R_x,R_x_error,R_y,R_y_error,R_z,R_z_error,
0.0,0.9189166667,0.0164913698,0.8953833333,0.0182891209,0.0360111111,0.0354669364,0.0666833333,0.0417236244,0.8748,0.045485822,0.043,0.0963068014,0.06,0.0968710483,
0.03841320854628643,0.8716166667,0.0228976648,0.8030166667,0.0230298056,0.0649833333,0.0426099489,0.078,0.039408121,0.7666,0.0640034374,-0.032,0.1016661202,0.0582,0.0942802206,
0.07682641709257286,0.8207833333,0.0244522835,0.7631833333,0.0307626171,0.0443666667,0.0348618101,0.1488333333,0.0421488764,0.6654,0.0744502518,0.0662,0.0981303215,0.2388,0.1015015271,
0.1152396256388593,0.8280166667,0.0258808112,0.78625,0.0268207786,0.0737555556,0.0347903882,0.13785,0.0394266513,0.7354,0.0610478501,0.0814,0.0996094373,0.1508,0.1065990619,
0.15365283418514572,0.8116666667,0.0253399114,0.7574,0.0279913876,0.0332055556,0.0380682343,0.2017,0.0380116795,0.7478,0.0588486194,0.0258,0.0961371936,0.2644,0.1016102357,
0.19206604273143216,0.77845,0.0312438927,0.7161166667,0.0282921809,0.0792166667,0.036597839,0.2201166667,0.0401284431,0.7434,0.058655264,0.0628,0.0962505065,0.3182,0.0938123659,
0.2304792512777186,0.73375,0.031664364,0.6554666667,0.0336650825,0.0470277778,0.0374194093,0.18925,0.0413611298,0.5068,0.0779856397,0.0392,0.080940472,0.2688,0.0865017919,
0.268892459824005,0.6225833333,0.0321397772,0.47255,0.0392940871,-0.0010888889,0.0336027924,0.2802,0.039897981,0.2458,0.0954272498,-0.0014,0.0902554153,0.4708,0.0885175689,
0.30730566837029144,0.68455,0.0295097489,0.6407,0.0312456041,0.0098888889,0.0381517438,0.1296,0.0408677542,0.4838,0.089429078,0.047,0.0957235603,0.2358,0.105044562,
0.3457188769165779,0.7575833333,0.0317843209,0.5716666667,0.036828431,0.0360888889,0.0308732894,0.0488833333,0.0386983024,0.5158,0.0931791822,0.023,0.114904308,0.05,0.1035181144,
0.3841320854628643,0.7724333333,0.0289361558,0.6761333333,0.035087098,0.0192722222,0.0377587938,0.1659166667,0.0387645134,0.745,0.062249498,0.0084,0.0942838268,0.2102,0.0861856136,
Initial state -Z
x,p,p_error,p_x,p_x_error,p_y,p_y_error,p_z,p_z_error,R_x,R_x_error,R_y,R_y_error,R_z,R_z_error,
0.0,0.9307833333,0.0156834219,-0.0019833333,0.0455995218,-0.0192555556,0.0350843974,-0.9059,0.0177238383,0.0036,0.0939523283,-0.0452,0.0951049946,-0.9116,0.0457978165,
0.03841320854628643,0.8096,0.0282116209,0.0532833333,0.0395112185,0.0055888889,0.0347770518,-0.7971333333,0.026980528,0.0524,0.0895669582,0.0012,0.1073990689,-0.6912,0.0762794861,
0.07682641709257286,0.7411833333,0.0326992142,0.0010166667,0.0413923604,0.0350111111,0.0313335284,-0.7268833333,0.0318002926,-0.048,0.0974063653,0.1224,0.0914452842,-0.524,0.0910823803,
0.1152396256388593,0.7783333333,0.024967757,0.0356,0.0416623464,-0.0230555556,0.0358989924,-0.7577166667,0.0256413891,0.0166,0.0891764543,-0.026,0.0989747443,-0.623,0.0870114935,
0.15365283418514572,0.7198166667,0.0324712651,0.0160666667,0.0385857775,-0.0769222222,0.0352032388,-0.7039,0.0353649387,-0.0554,0.0835155075,-0.0816,0.0950654511,-0.4918,0.0808007426,
0.19206604273143216,0.7214833333,0.0267850445,0.03785,0.0417793776,-0.0247166667,0.033881465,-0.69965,0.0312634815,0.042,0.0926282894,-0.0054,0.0930313926,-0.4804,0.0897543314,
0.2304792512777186,0.67335,0.0310863448,0.0078666667,0.0427921852,-0.0018388889,0.0371384376,-0.6148666667,0.0346199044,0.0468,0.0985989858,0.0052,0.1021614409,-0.4198,0.078510891,
